,,,Quantity of Water Transferred,,,,,,Prices,,,,Transfer Length,,,,Transfer Type,,,,,,,,,,,,,,
ID Code,Year,State,Minimum Annual Acre-Feet,Average Annual Acre-Feet,Maximum Annual Acre-Feet,Committed Minimum Acre-Feet,Commited Average Acre-Feet,Commited Maximum Acre-Feet,Total Price,Inflation Adjusted Total Price,Inflation Adjusted Price per Annual Acre-Foot,Inflation Adjusted Price per Committed Acre-Foot,Sale,Lease,Exchange,Lease Duration,Ag-to-Ag,Ag-to-Urban,Ag-to-Enivo,Urban-to-Ag,Urban-to-Urban,Urban-to-Enviro,Enviro-to-Ag,Enviro-to-Urban,Enviro-to-Enviro,Combination,Recycled,Unknown,Seller,Buyer,Water Strategist Issue
AZ210,2008,AZ,10,10,10,77.22,77.22,77.22,24000,12768.35,1276.84,165.35,0,1,1,10,0,1,0,0,0,0,0,0,0,0,,0,Arizona State Land Department,Saddlebrooke Development Corporation,April '08
AZ211,2008,AZ,500,500,500,10000,10000,10000,1100000,588254.68,1176.51,58.83,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Mohave County Water Authority,La Paz County,December '08
AZ212,2008,AZ,2717.5,2717.5,2717.5,54350,54350,54350,,,,,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Various entities Phoenix AMA,Various entities Phoenix AMA,February '09
AZ213,2008,AZ,1578.7,1578.7,1578.7,31574,31574,31574,,,,,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Various entities Pinal AMA,Various entities Pinal AMA,February '09
AZ214,2008,AZ,22,22,22,440,440,440,22000,11607.83,527.63,26.38,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Various entities Prescott AMA,Various entities Prescott AMA,February '09
AZ215,2008,AZ,4,4,4,80,80,80,,,,,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Various entities Santa Cruz AMA,Various entities Santa Cruz AMA,February '09
AZ216,2008,AZ,10,10,10,200,200,200,20000,10552.57,1055.26,52.76,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Various entities Tucson AMA,Various entities Tucson AMA,February '09
AZ217,2008,AZ,50,50,50,50,50,50,6250,3342.36,66.85,66.85,0,1,0,1,1,0,0,0,0,0,0,0,0,0,,0,Private Party,Private Party,January '09
AZ218,2008,AZ,95,95,95,95,95,95,11875,6350.48,66.85,66.85,0,1,0,1,1,0,0,0,0,0,0,0,0,0,,0,Private Party,Private Party,January '09
AZ219,2008,AZ,513.1,513.1,513.1,10262,10262,10262,,,,,1,0,0,,0,0,1,0,0,0,0,0,0,0,,0,8 private parties--Field Ditch Co.,Great Basin Land and Water,July/August '08
