,,,Quantity of Water Transferred,,,,,,Prices,,,,Transfer Length,,,,Transfer Type,,,,,,,,,,,,,,
ID Code,Year,State,Minimum Annual Acre-Feet,Average Annual Acre-Feet,Maximum Annual Acre-Feet,Committed Minimum Acre-Feet,Commited Average Acre-Feet,Commited Maximum Acre-Feet,Total Price,Inflation Adjusted Total Price,Inflation Adjusted Price per Annual Acre-Foot,Inflation Adjusted Price per Committed Acre-Foot,Sale,Lease,Exchange,Lease Duration,Ag-to-Ag,Ag-to-Urban,Ag-to-Enivo,Urban-to-Ag,Urban-to-Urban,Urban-to-Enviro,Enviro-to-Ag,Enviro-to-Urban,Enviro-to-Enviro,Combination,Recycled,Unknown,Seller,Buyer,Water Strategist Issue
CA675,2008,CA,42885.197,42885.197,42885.197,42885.197,42885.197,42885.197,11021495.63,5815255.261,135.6005258,135.6005258,,1,,1,,,,,,,,,,1,,,8 Chino Basin Appropriative Pool members and 1 Non-Ag pool member,Chino Basin Water Master and 6 Appropriative Pool Members,October '09
CA638,2009,CA,66000,66000,66000,66000,66000,66000,22440000,11882258.07,180.03,180.03,0,1,0,1,0,1,0,0,0,0,0,0,0,0,,0,Palo Verde Irrigation District,Metropolitan Water District of Southern California,March '09
CA654,2009,CA,1100,1100,1100,22000,22000,22000,3377044,1788186.646,1625.624223,81.28121117,1,,,,,,,,1,,,,,,,,Town of Yountville,City of Napa,May '09
CA655,2009,CA,7292,7292,7292,7292,7292,7292,1786831.68,946149.5166,129.7517165,129.7517165,,1,,1,1,,,,,,,,,,,,San Luis & Delta Mendota Water Authority,Westlands Water District,May '09
CA656,2009,CA,33420,33420,33420,33420,33420,33420,14126968.2,7480404.72,223.8301831,223.8301831,,1,,1,1,,,,,,,,,,,,San Joaquin River Exchange Contractors Water Authority,Westlands Water District,May '09
CA657,2009,CA,24932,24932,24932,24932,24932,24932,7622959,4036451.253,161.8984138,161.8984138,,1,,1,1,,,,,,,,,,,,Yuba County Water Authority,Westlands Water District,May '09
CA661,2009,CA,100000,100000,100000,100000,100000,100000,,,,,,,1,,1,,,,,,,,,,,,California DWR,Bureau of Reclamation,July/August '09
CA662,2009,CA,20000,20000,20000,20000,20000,20000,5500000,2912318.155,145.6159077,145.6159077,,1,,1,,1,,,,,,,,,,,Placer County Water Agency,San Diego County Water Authority,July/August '09
CA663,2009,CA,28600,28600,28600,28600,28600,28600,11611600,6148486.089,214.9820311,214.9820311,,1,,1,,,,,1,,,,,,,,Metropolitan Water District of Southern California,Orange County Water District,September '09
CA664,2009,CA,14000,14000,14000,280000,280000,280000,73500000,38919160.8,2779.940057,138.9970028,1,,,,,1,,,,,,,,,,,Dudley Ridge Water District,Mojave Water Agecy,September '09
CA665,2009,CA,217,217,217,4340,4340,4340,833497,441346.99,2033.857097,101.6928548,1,,,,,,,,,,,,,,,,Mojave Basin Water Users-Alto,Mojave Basin Water Users,September '09
CA666,2009,CA,498,498,498,9960,9960,9960,199200,105478.8684,211.8049567,10.59024784,1,,,,,,,,,,,,,,,,Mojave Basin Water Users-Baja,Mojave Basin Water Users,September '09
CA667,2009,CA,555,555,555,11100,11100,11100,1061715,562191.2491,1012.957206,50.64786028,1,,,,,,,,,,,,,,,,Mojave Basin Water Users-Centro,Mojave Basin Water Users,September '09
CA668,2009,CA,22869,22869,22869,22869,22869,22869,5625774,2978917.046,130.2600484,130.2600484,,1,,1,,,,,,,,,,,,,Mojave Basin Water Users-Alto,Mojave Basin Water Users,September '09
CA669,2009,CA,896,896,896,896,896,896,25088,13284.40689,14.82634697,14.82634697,,1,,1,,,,,,,,,,,,,Mojave Basin Water Users-Baja,Mojave Basin Water Users,September '09
CA670,2009,CA,5257,5257,5257,5257,5257,5257,310163,164235.152,31.24123112,31.24123112,,1,,1,,,,,,,,,,,,,Mojave Basin Water Users-Centro,Mojave Basin Water Users-Alta,September '09
CA671,2009,CA,1063,1063,1063,1063,1063,1063,58465,30957.94199,29.12318155,29.12318155,,1,,1,,,,,,,,,,,,,Mojave Basin Water Users-Centro,Mojave Basin Water Users,September '09
CA672,2009,CA,344,344,344,344,344,344,17888,9471.917665,27.53464437,27.53464437,,1,,1,,,,,,,,,,,,,Mojave Basin Water Users-Este,Mojave Basin Water Users,September '09
CA673,2009,CA,1349,1349,1349,1349,1349,1349,138947,73574.1583,54.53977636,54.53977636,,1,,1,,,,,,,,,,,,,Mojave Basin Water Users-Oeste,Mojave Basin Water Users,September '09
CA674,2009,CA,40000,40000,40000,40000,40000,40000,9000000,4765611.526,119.1402882,119.1402882,,1,,1,,,,1,,,,,,,,,Members of Chino Basin non-Ag Pool,Chino Basin Water Master,October '09
CA676,2009,CA,10150,10150,10150,10150,10150,10150,2608550,1381259.55,136.0846847,136.0846847,,1,,1,,,,,,,,,,1,,,8 Chino Basin Appropriative Pool members and 1 Non-Ag pool member,Chino Basin Water Master and 6 Appropriative Pool Members,October '09
CA677,2009,CA,10.36,10.36,10.36,207.2,207.2,207.2,230124.8,121853.9333,11761.96267,588.0981335,1,,,,,,,,1,,,,,,,,San Antonio Water Company,Monte Vista Water District,December '09
CA678,2009,CA,60000,60000,60000,60000,60000,60000,3840000,2033327.585,33.88879308,33.88879308,,1,,1,1,,,,,,,,,,,,Yuba County Water Agency,California DWR,December '09
CA679,2009,CA,15000,15000,15000,15000,15000,15000,1125000,595701.4408,39.71342939,39.71342939,,1,,1,1,,,,,,,,,,,,Yuba County Water Agency,Various SWP Contractors and San Luis & Delta-Mendota Water Authority,December '09
CA680,2009,CA,16100,16100,16100,16100,16100,16100,1610000,852514.9508,52.95123918,52.95123918,,1,,1,1,,,,,,,,,,,,Yuba County Water Agency,Various SWP Contractors and San Luis & Delta-Mendota Water Authority,December '09
CA681,2009,CA,88900,88900,88900,88900,88900,88900,22225000,11768412.91,132.378098,132.378098,,1,,1,1,,,,,,,,,,,,Yuba County Water Agency,Various SWP Contractors and San Luis & Delta-Mendota Water Authority,December '09
CA682,2009,CA,74102,74102,74102,74102,74102,74102,20378050,10790430,145.6159077,145.6159077,,1,,1,,,,,,,,,,1,,,17 entities through Drought Water Bank,9 entities through Drought Water Bank,December '09
CA683,2009,CA,292,292,292,5840,5840,5840,130232,68959.45781,236.1625267,11.80812634,1,,,,,,,,,,,,,1,,,Mojave Basin Water Users-Alto,Mojave Basin Water Users-Alto,January '10
CA684,2009,CA,1000,1000,1000,20000,20000,20000,1800000,953122.3052,953.1223052,47.65611526,1,,,,,,,,,,,,,1,,,Mojave Basin Water Users-Baja,Mojave Basin Water Users-Baja,January '10
CA685,2009,CA,114,114,114,2280,2280,2280,427500,226366.5475,1985.671469,99.28357346,1,,,,,,,,,,,,,1,,,Mojave Basin Water Users-Centro,Mojave Basin Water Users-Centro,January '10
CA686,2009,CA,1783,1783,1783,1783,1783,1783,490325,259633.1635,145.6159077,145.6159077,,1,,1,,,,,,,,,,1,,,Mojave Basin Water Users-Alto,Mojave Basin Water Users-Alto,January '10
CA687,2009,CA,271,271,271,271,271,271,5420,2869.957164,10.59024784,10.59024784,,1,,1,,,,,,,,,,1,,,Mojave Basin Water Users-Baja,Mojave Basin Water Users-Baja,January '10
CA688,2009,CA,1050,1050,1050,1050,1050,1050,1050,555.9880114,0.529512392,0.529512392,,1,,1,,,,,,,,,,1,,,Mojave Basin Water Users-Centro,Mojave Basin Water Users-Centro,January '10
CA689,2009,CA,750,750,750,750,750,750,11430,6052.326638,8.069768851,8.069768851,,1,,1,1,,,,,,,,,,,,Ventura County,14 SWP Contractors,January '10
CA690,2009,CA,1250,1250,1250,1250,1250,1250,9525,5043.605532,4.034884426,4.034884426,,1,,1,1,,,,,,,,,,,,Ventura County,14 SWP Contractors,January '10
CA691,2009,CA,278.6,278.6,278.6,278.6,278.6,278.6,16716,8851.329141,31.77074351,31.77074351,,1,,1,,,1,,,,,,,,,,Agricultural Water Users,Scott River Water Trust,February '10
CA692,2009,CA,480.6,480.6,480.6,480.6,480.6,480.6,10092.6,5344.156765,11.11976023,11.11976023,,1,,1,,,1,,,,,,,,,,Agricultural Water Users,Scott River Water Trust,February '10
CO14,1987,CO,27,27,27,540,540,540,,,,,1,0,0,,1,0,0,0,0,0,0,0,0,0,,0,Northern CO WCD,Agricultural Use,Dec '87
CO1,1987,CO,3500,3500,3500,70000,70000,70000,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Lower Clear Creek Ditch Co,City of Thornton,Apr '87
CO2,1987,CO,1,1,1,20,20,20,3000,3000,3000,150,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,UN,A Private party,Aug '87
CO3,1987,CO,4,4,4,80,80,80,4290,4290,1072.5,53.625,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Fountain Mutual IC,Developer,Aug '87
CO4,1987,CO,21,21,21,420,420,420,94500,94500,4500,225,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,UN,Developer,Aug '87
CO5,1987,CO,1,1,1,20,20,20,4025,4025,4025,201.25,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Commercial Bank,Individuals/irrigation districts,Dec '87
CO6,1987,CO,1,1,1,20,20,20,4000,4000,4000,200,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Commercial Bank,Individuals/irrigation districts,Dec '87
CO7,1987,CO,1,1,1,20,20,20,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Northern CO WCD,City of Lyons,Dec '87
CO8,1987,CO,4,4,4,80,80,80,15000,15000,3750,187.5,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Marshall Lake,City of Louisville,Dec '87
CO9,1987,CO,6,6,6,120,120,120,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Northern CO WCD,City of Longmont,Dec '87
CO10,1987,CO,8,8,8,160,160,160,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Commercial Bank,UN,Dec '87
CO11,1987,CO,10,10,10,200,200,200,35000,35000,3500,175,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Commercial Bank,Developer,Dec '87
CO12,1987,CO,20,20,20,400,400,400,21700,21700,1085,54.25,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Northern CO WCD,City of Fort Morgan,Dec '87
CO13,1987,CO,20,20,20,400,400,400,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Northern CO WCD,City of Fort Collins,Dec '87
CO15,1987,CO,3000,3000,3000,60000,60000,60000,10500000,1.05E+07,3500,175,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Busk-Ivanhoe Ditch Co,City of Aurora,Feb '87
CO16,1987,CO,5600,5600,5600,112000,112000,112000,14000000,1.40E+07,2500,125,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Colorado Canal Co,City of Aurora,Feb '87
CO17,1987,CO,8250,8250,8250,165000,165000,165000,18562500,1.86E+07,2250,112.5,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Rocky Ford Ditch Co,City of Aurora,Feb '87
CO18,1987,CO,1200,1200,1200,24000,24000,24000,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Union Reservoir,City of Longmont,Jan '87
CO19,1987,CO,8900,9790,10680,178000,195800,213600,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,North Poudre Irrigation Co,Fort Collins City Council,Jan '87
CO20,1987,CO,100,100,100,2000,2000,2000,350000,350000,3500,175,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,City of Estes Park,MDC Land Corp,Jul '87
CO21,1987,CO,6175,6175,6175,123500,123500,123500,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Traveler's Insurance Co,Rocky Mountain Water Works,Jul '87
CO22,1987,CO,518,518,518,10360,10360,10360,399657,399657,771.5386,38.57693,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Colorado River Basin,City of Fort Morgan,Jun '87
CO23,1987,CO,1500,1500,1500,30000,30000,30000,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Green Mountain Reservoir,Western Water Rights Mgmt,Jun '87
CO24,1987,CO,46,46,46,920,920,920,45500,45500,989.1304,49.45652,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,UN,City of Greeley,Mar '87
CO25,1987,CO,1825,1825,1825,36500,36500,36500,3500000,3500000,1917.808,95.89041,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Hill Ranch,Western Water Rights Mgmt,Mar '87
CO26,1987,CO,28,28,28,560,560,560,84000,84000,3000,150,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Marshall Lake,City of Broomfield,Nov '87
CO27,1987,CO,28,28,28,560,560,560,56000,56000,2000,100,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Marshallville Ditch Co,City of Louisville,Nov '87
CO28,1987,CO,165,165,165,3300,3300,3300,100000,100000,606.0606,30.30303,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,Harrison Resources,Nov '87
CO29,1987,CO,300,300,300,6000,6000,6000,540000,540000,1800,90,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,Western Water Rights Mgmt,Oct '87
CO30,1987,CO,100,100,100,2000,2000,2000,270000,270000,2700,135,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,"Burlington Ditch, Res., and Land Co",Western Water Rights Mgmt,Sep '87
CO31,1987,CO,630,683,735,12600,13660,14700,2315370,2315370,3390,169.5,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,CO Canal Co,City of Aurora,Sep '87
CO36,1988,CO,6,6,6,120,120,120,2500,2400.676,400.1127,20.00564,1,0,0,,1,0,0,0,0,0,0,0,0,0,,0,Handy Ditch Co,Individuals/irrigation districts,Dec '88
CO37,1988,CO,13,13,13,260,260,260,6000,5761.623,443.2018,22.16009,1,0,0,,1,0,0,0,0,0,0,0,0,0,,0,SouthsIrrigation Districte Irrigation and Res Co,Irrigator,Dec '88
CO39,1988,CO,20,20,20,400,400,400,6000,5761.623,288.0811,14.40406,1,0,0,,1,0,0,0,0,0,0,0,0,0,,0,Colorado-Big Thompson,Irrigator,Dec '88
CO52,1988,CO,137,137,137,2740,2740,2740,137000,131557.1,960.2705,48.01353,1,0,0,,1,0,0,0,0,0,0,0,0,0,,0,Irrigators,Agricultural Use,Mar '88
CO53,1988,CO,2,2,2,40,40,40,1650,1584.446,792.2231,39.61116,1,0,0,,1,0,0,0,0,0,0,0,0,0,,0,Individuals/irrigation districts,Individuals/irrigation districts,May '88
CO32,1988,CO,4,4,4,80,80,80,4000,3841.082,960.2704,48.01352,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Colorado-Big Thompson,North Weld County WD,Apr '88
CO33,1988,CO,12,12,12,240,240,240,9600,9218.597,768.2164,38.41082,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,North Poudre Irrigation District,North Weld County WD,Apr '88
CO34,1988,CO,47,47,47,940,940,940,199750,191814,4081.15,204.0575,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,John Kinner Ditch,City of Castle Rock,Apr '88
CO35,1988,CO,112,112,112,2240,2240,2240,476000,457088.8,4081.15,204.0575,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Benjamin Quick Ditch,City of Castle Rock,Apr '88
CO38,1988,CO,18,18,18,360,360,360,21875,21005.92,1166.995,58.34977,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Colorado-Big Thompson,A Dairy Co,Dec '88
CO40,1988,CO,1,1,1,20,20,20,1500,1440.406,1440.406,72.02029,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Cattle Creek,A Homeowner,Feb '88
CO41,1988,CO,53,53,53,1060,1060,1060,37100,35626.04,672.1893,33.60947,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Water Supply and Storage Co,A Private party,Feb '88
CO42,1988,CO,230,230,230,4600,4600,4600,800000,768216.4,3340.071,167.0036,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigators,City of Castle Rock,Feb '88
CO43,1988,CO,255,255,255,5100,5100,5100,350000,336094.7,1318.018,65.90091,1,0,0,,0,0,1,0,0,0,0,0,0,0,,0,UN,Two Fishing Clubs,Feb '88
CO44,1988,CO,272,272,272,5440,5440,5440,1680000,1613254,5931.082,296.5541,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Farmers High Line Canal and Res. Co,City of Westminster,Feb '88
CO45,1988,CO,510,510,510,510,510,510,107100,102845,201.6568,201.6568,0,1,0,1,0,0,0,1,0,0,0,0,0,0,,0,City of Evans,Farmer,Jul '88
CO46,1988,CO,7,7,7,140,140,140,32000,30728.65,4389.808,219.4904,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,City of Northglenn,Jul '88
CO47,1988,CO,2100,2100,2100,42000,42000,42000,2300000,2208622,1051.725,52.58624,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,RiversIrrigation Districte Irrigation District,City of Fort Morgan,Jul '88
CO48,1988,CO,2500,2500,2500,50000,50000,50000,12500000,1.20E+07,4801.353,240.0676,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,City of Thornton,Coors,Jun '88
CO49,1988,CO,2700,2700,2700,54000,54000,54000,2200000,2112595,782.4426,39.12213,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,North Poudre IC and Colorado-Big Thompson,City of Fort Collins,Jun '88
CO50,1988,CO,8,8,8,160,160,160,8000,7682.164,960.2704,48.01352,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigators,Domestic WD's,Mar '88
CO51,1988,CO,22,22,22,440,440,440,23250,22326.29,1014.831,50.74157,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Northern CO WCD,City of Dacono,Mar '88
CO54,1988,CO,21,21,21,420,420,420,55000,52814.88,2514.994,125.7497,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Dillon Reservoir,Investor,May '88
CO55,1988,CO,115,115,115,2300,2300,2300,400200,384300.3,3341.741,167.0871,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigators,City of Castle Rock,Nov '87
CO56,1988,CO,40,40,40,800,800,800,85500,82103.13,2052.578,102.6289,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Fountain Mutual IC,City of Fountain,Nov '88
CO57,1988,CO,25,25,25,500,500,500,20000,19205.41,768.2164,38.41082,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Individuals/irrigation districts,Developer,Oct '88
CO58,1988,CO,500,500,500,10000,10000,10000,485000,465731.2,931.4624,46.57312,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,A Group of Investors,Oct '88
CO59,1988,CO,600,600,600,12000,12000,12000,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Farmer,Investor,Oct '88
CO60,1988,CO,700,700,700,14000,14000,14000,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,2 Farmers,A Real Estate Broker,Oct '88
CO61,1988,CO,165,221,276,3300,4420,5520,182325,175081.3,792.2231,39.61116,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Colorado-Big Thompson,City of Evans,Sep '88
CO70,1989,CO,3800,3800,3800,76000,76000,76000,,,,,1,0,0,,1,0,0,0,0,0,0,0,0,0,,0,Upper Yampa WCD,Agricultural Use,Jul '87
CO74,1989,CO,7,9,10,140,180,200,10200,9344.517,1038.28,51.91398,1,0,0,,1,0,0,0,0,0,0,0,0,0,,0,Irrigator,Irrigator,Jun '89
CO76,1989,CO,30,30,30,600,600,600,38220,35014.45,1167.148,58.35742,1,0,0,,1,0,0,0,0,0,0,0,0,0,,0,Colorado-Big Thompson,Lower Latham Reservoir Co,Mar '89
CO62,1989,CO,72,72,72,1440,1440,1440,91800,84100.65,1168.065,58.40323,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Colorado-Big Thompson,Little Thompson Water District,Apr '89
CO63,1989,CO,7,7,7,140,140,140,10000,9161.29,1308.756,65.43778,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Colorado-Big Thompson,Homeowners,Feb '89
CO64,1989,CO,200,200,200,200,200,200,,,,,0,0,1,,0,0,0,0,1,0,0,0,0,0,,0,Denver Water Dept,City of Erie,Feb '89
CO65,1989,CO,42,42,42,840,840,840,51000,46722.58,1112.442,55.62212,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Bank,Fort Collins-Loveland WD,Feb '89
CO66,1989,CO,49,49,49,980,980,980,59500,54509.68,1112.442,55.62212,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,Little Thompson Water District,Feb '89
CO67,1989,CO,112,112,112,2240,2240,2240,144000,131922.6,1177.88,58.89401,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Berthoud National Bank,Little Thompson Water District,Feb '89
CO68,1989,CO,178,178,178,3560,3560,3560,877680,804068.1,4517.237,225.8618,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,A Mortgage Co,City of Westminster,Feb '89
CO69,1989,CO,1226,1226,1226,18846.625,18846.625,18846.625,,,,,0,1,0,30,0,1,0,0,0,0,0,0,0,0,,0,Upper Yampa WCD,Five Local Purveyors,Jul '87
CO71,1989,CO,9000,9000,9000,180000,180000,180000,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Upper Yampa WCD,CO Ute Electric Association,Jul '87
CO72,1989,CO,14,14,14,280,280,280,16500,15116.13,1079.724,53.98618,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Colorado-Big Thompson,City of Windsor,Jul '89
CO73,1989,CO,32,32,32,640,640,640,40500,37103.23,1159.476,57.97379,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Farmer,Fort Collins-Loveland WD,Jul '89
CO75,1989,CO,358,358,358,7160,7160,7160,895000,819935.5,2290.323,114.5161,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Private Investment Co,City of Aurora,Jun '89
CO77,1989,CO,35,35,35,700,700,700,45000,41225.8,1177.88,58.894,1,0,0,,0,0,1,0,0,0,0,0,0,0,,0,Colorado-Big Thompson,City of Dacono,Mar '89
CO78,1989,CO,7,7,7,140,140,140,8000,7329.032,1047.005,52.35023,1,0,0,,0,0,1,0,0,0,0,0,0,0,,0,Colorado-Big Thompson,Longs Peak Water Assoc.,May '89
CO79,1989,CO,7,7,7,140,140,140,8500,7787.097,1112.442,55.62212,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Two Individuals/irrigation districts,Longs Peak Water Assoc.,May '89
CO80,1989,CO,45,45,45,900,900,900,30400,27850.32,618.8961,30.9448,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,North Poudre IC,City of Windsor,May '89
CO81,1989,CO,7150,7150,7150,143000,143000,143000,6000000,5496774,768.7796,38.43898,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Colorado-Big Thompson,City of Fort Collins,May '89
CO82,1989,CO,7,7,7,140,140,140,10000,9161.29,1308.756,65.43778,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Fulton IC,Central CO WCD,Nov '89
CO83,1989,CO,35,35,35,700,700,700,42500,38935.48,1112.442,55.62212,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Farmer,City of Longmont,Nov '89
CO84,1989,CO,78.75,78.75,78.75,1575,1575,1575,45000,41225.8,523.5023,26.17511,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Fulton Irrigation co,Central CO WCD,Nov '89
CO85,1989,CO,105,105,105,2100,2100,2100,71120,65155.1,620.5247,31.02624,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Four Irrigation Co's,City of Fort Collins,Nov '89
CO86,1989,CO,1300,1300,1300,26000,26000,26000,5100000,4672258,3594.045,179.7022,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigators,City of Broomfield,Nov '89
CO87,1989,CO,43,43,43,860,860,860,57950,53089.68,1234.644,61.73218,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Colorado-Big Thompson,North Weld County WD,Oct '89
CO88,1989,CO,350,350,350,7000,7000,7000,1250000,1145161,3271.889,163.5945,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,South Platte River Basin,City of Aurora,Oct '89
CO89,1989,CO,4,4,4,80,80,80,5000,4580.645,1145.161,57.25806,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Colorado-Big Thompson,City of Kersey,Sep '89
CO90,1989,CO,4,4,4,80,80,80,4500,4122.581,1030.645,51.53226,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,North Weld County WD,Sep '89
CO91,1989,CO,18,18,18,360,360,360,,,,,1,0,0,,0,0,0,1,0,0,0,0,0,0,,0,Developer,Irrigator,Sep '89
CO92,1989,CO,21,21,21,420,420,420,30000,27483.87,1308.756,65.43779,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Colorado-Big Thompson,North Weld County WD,Sep '89
CO93,1989,CO,21,21,21,420,420,420,31500,28858.06,1374.194,68.70968,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Colorado-Big Thompson,North Weld County WD,Sep '89
CO94,1989,CO,350,350,350,7000,7000,7000,,,,,1,0,0,,0,0,1,0,0,0,0,0,0,0,,0,Big Thompson River,Groundwater Mgmt Subdistrict,Sep '89
CO97,1990,CO,3,3,3,60,60,60,4800,4171.997,1390.666,69.53329,1,0,0,,1,0,0,0,0,0,0,0,0,0,,0,Farmer,City of Gilcrest,Apr '90
CO99,1990,CO,8,8,8,160,160,160,14400,12515.99,1564.499,78.22495,1,0,0,,1,0,0,0,0,0,0,0,0,0,,0,Irrigator,Loveland Realty,Apr '90
CO103,1990,CO,14,14,14,280,280,280,31600,27465.65,1961.832,98.09159,1,0,0,,1,0,0,0,0,0,0,0,0,0,,0,Irrigators,City of Dacono,Dec '90
CO109,1990,CO,112,112,112,2240,2240,2240,,,,,1,0,0,,1,0,0,0,0,0,0,0,0,0,,0,Harrison Resource Corp,Red Feathers Lakes IC,Dec '90
CO122,1990,CO,8,8,8,160,160,160,15400,13385.16,1673.145,83.65723,1,0,0,,1,0,0,0,0,0,0,0,0,0,,0,Irrigator,Irrigator,Jul '90
CO135,1990,CO,21,21,21,420,420,420,28250,24553.94,1169.235,58.46177,1,0,0,,1,0,0,0,0,0,0,0,0,0,,0,Investor,North Weld County WD,Jun '90
CO142,1990,CO,7,7,7,140,140,140,12500,10864.58,1552.082,77.60411,1,0,0,,1,0,0,0,0,0,0,0,0,0,,0,Irrigator,North Crater Lake WD,May '90
CO144,1990,CO,30,30,30,600,600,600,52675,45783.32,1526.111,76.30553,1,0,0,,1,0,0,0,0,0,0,0,0,0,,0,Farmer,Berthoud Land and Inv. Co.,May '90
CO145,1990,CO,24,30,36,480,600,720,7500,6518.746,217.2915,10.86458,1,0,0,,1,0,0,0,0,0,0,0,0,0,,0,Retired Farmer,Farmer,May '90
CO157,1990,CO,21,21,21,420,420,420,45000,39112.47,1862.499,93.12493,1,0,0,,1,0,0,0,0,0,0,0,0,0,,0,Irrigator,St. Vrain Valley School District,Oct '90
CO95,1990,CO,1,1,1,20,20,20,1350,1173.374,1173.374,58.66871,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,A Private Rights Owner,Landowner,Apr '90
CO96,1990,CO,3,3,3,60,60,60,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,Loveland Reality,Apr '90
CO159,1990,CO,116,116,116,2320,2320,2320,120750,104951.8,904.7569,45.23784,1,0,0,,1,0,0,0,0,0,0,0,0,0,,0,Investor,North Weld County WD,Oct '90
CO98,1990,CO,5,5,5,100,100,100,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,Loveland Reality,Apr '90
